episode,condition,reward,duration,epsilon,loss,best_reward,terminated,done_reason,start_x,start_y,start_heading
1,separated,-4378.056484775301,656,0.8712815571211799,0.6120583415031433,-4378.056484775301,True,wall_collision,-29.975057263316188,78.446223533215,-3.1085097693055483
2,blocking,-1746.318945036084,798,0.837592979378809,0.2894507050514221,-1746.318945036084,True,red_collision,48.18426275741494,62.38458003792971,-0.20147063316635405
3,separated,1183.9823311511734,322,0.8243754192786954,0.8192923069000244,1183.9823311511734,True,wall_collision,-33.236158184884005,-51.477386592633835,-0.34509574789418096
4,blocking,-4341.840190405454,673,0.7974276257967221,0.812748908996582,1183.9823311511734,True,wall_collision,0.6822388436929998,11.234443935643412,3.1133201005782967
5,separated,-6121.132565027371,1015,0.7584627696875238,0.2531284689903259,1183.9823311511734,True,wall_collision,18.326884416174394,102.68163101319584,-1.7887682043279145
6,separated,476.5479828878308,295,0.7475039637134069,0.3553900420665741,1183.9823311511734,True,green_collision,-50.96819492132332,23.63331689733647,-2.8654968747988607
7,orbit,-19.684982954744157,164,0.7414811584602425,0.39205798506736755,1183.9823311511734,True,green_collision,2.2333230407055424,-7.096734681689284,2.621142423154155
8,blocking,-103.31755814973252,1,0.7414445853166557,0.5992608070373535,1183.9823311511734,True,red_collision,19.383938173651572,2.9647057858979053,-0.019644784797481663
9,orbit,-51.58261197527816,52,0.7395452995362778,0.3587453365325928,1183.9823311511734,True,wall_collision,-73.23089616862413,-64.59554976308476,1.2065734004313065
10,blocking,-6764.447217641234,969,0.7050414351622796,0.4458353519439697,1183.9823311511734,True,wall_collision,-44.90899140195072,-27.397374773536598,-3.118129718794737
11,orbit,-776.9981314016924,192,0.6984009626515238,0.39574193954467773,1183.9823311511734,True,wall_collision,-51.83083784078402,-48.80414604160506,2.3896974017403068
12,separated,-1336.6776132294065,449,0.6831185480036271,2.188009023666382,1183.9823311511734,True,wall_collision,1.4686214802634794,72.90155173683257,0.8778688504940382
13,blocking,-2262.3097761237386,371,0.6707472970370393,0.5506212115287781,1183.9823311511734,True,wall_collision,-61.27565924054315,8.640202489062645,0.04883440092628666
