episode,reward,duration,epsilon,loss,best_reward,terminated,done_reason,start_x,start_y,start_heading
1,-5767.666413200711,690,0.8878023573105325,0.01101123820990324,-5767.666413200711,True,wall_collision,0.0,0.0,0.0
2,3.146792997384128,13,0.8875741583647802,0.3561853766441345,3.146792997384128,True,wall_collision,0.0,0.0,0.0
3,-4481.447232479738,751,0.8744914912895286,0.32478272914886475,3.146792997384128,True,red_collision,0.0,0.0,0.0
4,-61.84798049543425,29,0.8739902316039415,0.07834170758724213,3.146792997384128,True,wall_collision,0.0,0.0,0.0
5,-544.0999183779574,219,0.8702142298700056,0.05826834589242935,3.146792997384128,True,wall_collision,0.0,0.0,0.0
6,-223.4181122327824,156,0.8675345439565969,0.07071349024772644,3.146792997384128,True,wall_collision,0.0,0.0,0.0
7,-4567.884337535505,1002,0.8505206008045121,0.19708845019340515,3.146792997384128,True,wall_collision,0.0,0.0,0.0
8,-6.665359794414916,17,0.8502348723768238,0.10284067690372467,3.146792997384128,True,wall_collision,0.0,0.0,0.0
9,-1203.7605331140571,303,0.8451584461570438,0.25097253918647766,3.146792997384128,True,wall_collision,0.0,0.0,0.0
10,-1101.139511060571,250,0.8409930760294285,0.09662199765443802,3.146792997384128,True,wall_collision,0.0,0.0,0.0
11,-390.190623294609,467,0.8332677342059501,0.20562094449996948,3.146792997384128,True,wall_collision,0.0,0.0,0.0
12,-907.1387401464318,365,0.8272797624347724,0.17853114008903503,3.146792997384128,True,wall_collision,0.0,0.0,0.0
13,-90.28938304458002,67,0.826185340979247,0.4212419092655182,3.146792997384128,True,wall_collision,0.0,0.0,0.0
14,165.9521876002129,202,0.8228946039662969,0.41983160376548767,165.9521876002129,True,wall_collision,0.0,0.0,0.0
15,-2020.7912253141171,338,0.8174179683276861,0.21421967446804047,165.9521876002129,True,red_collision,0.0,0.0,0.0
1,-10876.591656979901,1575,0.8724019512438284,0.027455955743789673,-10876.591656979901,True,red_collision,-41.218921501411224,-41.96508016864266,2.3471055195601043
2,-7032.499435095341,1253,0.8510587061643748,0.054370395839214325,-7032.499435095341,True,wall_collision,-74.2102043151638,67.4579678603809,1.8665422699470895
3,-721.0404816551672,322,0.8456596915833285,0.059715304523706436,-721.0404816551672,True,wall_collision,-4.809757073441887,-41.363190367944156,-1.3921929384957314
4,-1400.6471442700163,235,0.8417413064510392,0.4171639382839203,-721.0404816551672,True,red_collision,-36.76956185188131,-11.533975764644225,0.028577553857860316
5,-2123.1161616783893,427,0.8346684796503817,0.6052244901657104,-721.0404816551672,True,wall_collision,8.024602811173864,104.05505952122246,1.838849070774832
6,-586.2373170324516,105,0.8329384929649057,0.12186920642852783,-586.2373170324516,True,wall_collision,18.326884416174394,102.68163101319584,-1.7887682043279145
7,-2144.730584385788,340,0.8273614944975509,0.1102973148226738,-586.2373170324516,True,red_collision,-50.96819492132332,23.63331689733647,-2.8654968747988607
8,-3311.7403548906254,493,0.819341911676726,0.1731538474559784,-586.2373170324516,True,red_collision,-69.64795818396058,3.1266522569877537,-0.21233380514734268
9,42.918661256520686,151,0.8169013861518852,0.20379605889320374,42.918661256520686,True,wall_collision,62.57516597892783,27.137513443112198,0.08870378968601944
10,-991.7291233419039,391,0.8106160251042506,0.22761334478855133,42.918661256520686,True,wall_collision,-0.46898469097436646,-53.021866374260526,-3.0674886055886197
1,-10876.591656979901,1575,0.8724019512438284,0.027455955743789673,-10876.591656979901,True,red_collision,-41.218921501411224,-41.96508016864266,2.3471055195601043
2,-7032.499435095341,1253,0.8510587061643748,0.054370395839214325,-7032.499435095341,True,wall_collision,-74.2102043151638,67.4579678603809,1.8665422699470895
3,-721.0404816551672,322,0.8456596915833285,0.059715304523706436,-721.0404816551672,True,wall_collision,-4.809757073441887,-41.363190367944156,-1.3921929384957314
4,-1400.6471442700163,235,0.8417413064510392,0.4171639382839203,-721.0404816551672,True,red_collision,-36.76956185188131,-11.533975764644225,0.028577553857860316
5,-2123.1161616783893,427,0.8346684796503817,0.6052244901657104,-721.0404816551672,True,wall_collision,8.024602811173864,104.05505952122246,1.838849070774832
6,-586.2373170324516,105,0.8329384929649057,0.12186920642852783,-586.2373170324516,True,wall_collision,18.326884416174394,102.68163101319584,-1.7887682043279145
7,-2144.730584385788,340,0.8273614944975509,0.1102973148226738,-586.2373170324516,True,red_collision,-50.96819492132332,23.63331689733647,-2.8654968747988607
8,-3311.7403548906254,493,0.819341911676726,0.1731538474559784,-586.2373170324516,True,red_collision,-69.64795818396058,3.1266522569877537,-0.21233380514734268
9,42.918661256520686,151,0.8169013861518852,0.20379605889320374,42.918661256520686,True,wall_collision,62.57516597892783,27.137513443112198,0.08870378968601944
10,-991.7291233419039,391,0.8106160251042506,0.22761334478855133,42.918661256520686,True,wall_collision,-0.46898469097436646,-53.021866374260526,-3.0674886055886197
