episode,reward,duration,epsilon,loss,best_reward,terminated,done_reason,start_x,start_y,start_heading
1,-10876.591656979901,1575,0.8724019512438284,0.027455955743789673,-10876.591656979901,True,red_collision,-41.218921501411224,-41.96508016864266,2.3471055195601043
2,-7032.499435095341,1253,0.8510587061643748,0.054370395839214325,-7032.499435095341,True,wall_collision,-74.2102043151638,67.4579678603809,1.8665422699470895
3,-721.0404816551672,322,0.8456596915833285,0.059715304523706436,-721.0404816551672,True,wall_collision,-4.809757073441887,-41.363190367944156,-1.3921929384957314
4,-1400.6471442700163,235,0.8417413064510392,0.4171639382839203,-721.0404816551672,True,red_collision,-36.76956185188131,-11.533975764644225,0.028577553857860316
5,-2123.1161616783893,427,0.8346684796503817,0.6052244901657104,-721.0404816551672,True,wall_collision,8.024602811173864,104.05505952122246,1.838849070774832
6,-586.2373170324516,105,0.8329384929649057,0.12186920642852783,-586.2373170324516,True,wall_collision,18.326884416174394,102.68163101319584,-1.7887682043279145
7,-2144.730584385788,340,0.8273614944975509,0.1102973148226738,-586.2373170324516,True,red_collision,-50.96819492132332,23.63331689733647,-2.8654968747988607
8,-3311.7403548906254,493,0.819341911676726,0.1731538474559784,-586.2373170324516,True,red_collision,-69.64795818396058,3.1266522569877537,-0.21233380514734268
9,42.918661256520686,151,0.8169013861518852,0.20379605889320374,42.918661256520686,True,wall_collision,62.57516597892783,27.137513443112198,0.08870378968601944
10,-991.7291233419039,391,0.8106160251042506,0.22761334478855133,42.918661256520686,True,wall_collision,-0.46898469097436646,-53.021866374260526,-3.0674886055886197
