episode,reward,duration,epsilon,loss,best_reward,terminated,done_reason,start_x,start_y,start_heading
1,1745.6635822410553,536,0.8905101564411049,1.1938114166259766,1745.6635822410553,True,green_collision,-41.218921501411224,-41.96508016864266,2.3471055195601043
2,-1628.533960654083,327,0.8847704094488104,0.11574167758226395,1745.6635822410553,True,wall_collision,-74.2102043151638,67.4579678603809,1.8665422699470895
3,1568.107319861648,785,0.8711437630958566,0.14179882407188416,1745.6635822410553,True,wall_collision,-4.809757073441887,-41.363190367944156,-1.3921929384957314
4,737.9394472880401,210,0.8675345439565969,0.31202638149261475,1745.6635822410553,True,green_collision,-36.76956185188131,-11.533975764644225,0.028577553857860316
5,-1089.5086037247422,88,0.8660266105298967,0.3573780655860901,1745.6635822410553,True,wall_collision,8.024602811173864,104.05505952122246,1.838849070774832
6,-2306.9466537177477,171,0.8631040000344995,0.08629966527223587,1745.6635822410553,True,wall_collision,18.326884416174394,102.68163101319584,-1.7887682043279145
7,580.3103438088851,241,0.8590019326783974,0.07535718381404877,1745.6635822410553,True,green_collision,-50.96819492132332,23.63331689733647,-2.8654968747988607
8,153.0419371708702,59,0.8580007012405615,0.6072153449058533,1745.6635822410553,True,wall_collision,-69.64795818396058,3.1266522569877537,-0.21233380514734268
9,-1627.184669524416,102,0.8562725431306281,0.19907453656196594,1745.6635822410553,True,red_collision,62.57516597892783,27.137513443112198,0.08870378968601944
10,716.6348611758076,623,0.8457934078309964,0.5736493468284607,1745.6635822410553,True,wall_collision,-0.46898469097436646,-53.021866374260526,-3.0674886055886197
11,-360.07077412581395,169,0.8429731949572205,0.3834531605243683,1745.6635822410553,True,wall_collision,-46.1396784022034,40.32674538518623,-1.8811434329132743
12,-92.38381984463147,69,0.8418244847405295,0.1067766547203064,1745.6635822410553,True,wall_collision,-19.56955340966899,-104.21580916906404,2.073751046558306
13,1440.4839543353717,384,0.835460541519713,1.2338976860046387,1745.6635822410553,True,wall_collision,-51.83083784078402,-48.80414604160506,2.3896974017403068
14,-2334.578104099316,437,0.8282774522119601,0.1557200700044632,1745.6635822410553,True,wall_collision,1.4686214802634794,72.90155173683257,0.8778688504940382
15,-969.2712631387889,737,0.8163045000012464,1.2546930313110352,1745.6635822410553,True,wall_collision,36.26564210427857,-85.78592293676041,0.25851425395397554
16,-2774.432451926732,483,0.8085530980796488,1.2928493022918701,1745.6635822410553,True,wall_collision,1.165835445052494,77.98126910550494,-0.8717036259799791
17,-435.8852358591707,467,0.8011293350847276,0.2501976191997528,1745.6635822410553,True,wall_collision,14.727610081081963,-92.55715510744425,-0.7060302162553027
18,713.9142569050438,312,0.7962080583856483,0.2635135352611542,1745.6635822410553,True,wall_collision,-26.544548061269005,-73.4580568952051,1.9876109260170667
19,-2260.700791389508,355,0.790645750729597,1.5844495296478271,1745.6635822410553,True,wall_collision,-18.083074267453128,100.53705572635653,0.5654344832924822
20,-1586.37625419649,524,0.7825073032142073,0.3700598478317261,1745.6635822410553,True,green_collision,15.758438074477695,28.979281965549774,1.1086695793727674
21,495.2197080671461,129,0.780516803221036,4.820515155792236,1745.6635822410553,True,wall_collision,-52.38179712474469,-12.534171890480621,-1.6363678884928008
22,239.7427644045073,280,0.7762139683054978,2.7538747787475586,1745.6635822410553,True,wall_collision,-14.625255284402755,-84.69214027433343,2.9394503366364164
23,-208.42811504579618,154,0.7738576598608616,0.41559457778930664,1745.6635822410553,True,wall_collision,-42.749394396617994,36.07068414836985,-1.2539976116588045
24,-448.044770392139,24,0.7734910961664531,1.0303010940551758,1745.6635822410553,True,red_collision,56.11155392242566,34.0650950510753,-2.314626093510592
25,-4940.162031676618,580,0.7646857690848418,1.7234994173049927,1745.6635822410553,True,wall_collision,51.761148131182935,93.4391159404457,2.5378840289158164
26,-128.4529073252764,368,0.7591516722822392,1.097461462020874,1745.6635822410553,True,wall_collision,10.457872178891591,-74.45340971020535,-1.932308849836335
27,-972.9816857858266,61,0.7582382645340744,4.404726028442383,1745.6635822410553,True,red_collision,64.18585271167865,10.988562410125397,-2.0071478481610265
28,-129.34590318272967,2,0.7582083356020757,2.7967562675476074,1745.6635822410553,True,red_collision,57.608534129470485,29.730058096720967,0.4379020413683712
29,322.27160979663506,186,0.7554301711832334,1.3561214208602905,1745.6635822410553,True,green_collision,-18.556824580511986,-18.699390747002738,-1.6368375512392184
30,-380.56983396898977,77,0.7542830921971315,0.49183404445648193,1745.6635822410553,True,wall_collision,-69.29140699631414,79.00594970294691,-0.20275702757954228
31,115.07912329954756,254,0.7505117214808444,0.4252503514289856,1745.6635822410553,True,green_collision,7.145279882060294,-37.34570494615272,1.57912104376057
32,126.46673386371585,23,0.7501711644230917,0.6768971681594849,1745.6635822410553,True,wall_collision,-71.22046937973595,-26.841092761307166,-2.950896129846968
33,-632.0805415673905,111,0.7485298070188965,0.5132030844688416,1745.6635822410553,True,wall_collision,-56.5661846692486,98.10112943344723,0.9912399010279191
34,98.12511985570389,278,0.7444349754723973,1.4813690185546875,1745.6635822410553,True,green_collision,-10.76696304157781,4.985422661200872,2.34242934163544
35,-208.88241677771154,266,0.7405381561331007,1.1404805183410645,1745.6635822410553,True,wall_collision,-23.36839995059607,18.961106280840085,1.1541229557255104
36,378.4189692808144,190,0.7377673789506094,2.9040536880493164,1745.6635822410553,True,wall_collision,-21.68793344647319,4.010682164157927,1.6665984613834457
37,-1249.3754847929208,486,0.7307277480576837,6.434635162353516,1745.6635822410553,True,wall_collision,61.37689709858253,-73.27692160386874,2.72325435759274
38,-114.50657103153789,43,0.7301081886430879,0.49903053045272827,1745.6635822410553,True,wall_collision,-74.22317012768518,53.12527575552832,1.951097617734363
39,283.97514168446446,76,0.7290144556440098,1.8070824146270752,1745.6635822410553,True,wall_collision,-54.48539226861277,-17.030233308231118,1.9808136138945942
40,3.90780075923632,28,0.7286119202692736,0.4927111268043518,1745.6635822410553,True,wall_collision,-72.85932154730841,26.977009051921044,1.8411219432175825
41,-929.122356529062,291,0.7244417458719473,0.5357787609100342,1745.6635822410553,True,wall_collision,1.9505374233312693,47.42837831572831,-1.7189319539066663
42,481.4104995529664,95,0.7230855953058037,9.218780517578125,1745.6635822410553,True,green_collision,-45.221827801099074,-28.743340384426162,-2.0143513371604422
43,-1803.413678289003,293,0.7189191333736524,0.6284711956977844,1745.6635822410553,True,wall_collision,-23.09078413312823,94.10605289627108,0.4607630538297447
44,676.7030995437349,180,0.7163716127818941,3.2196760177612305,1745.6635822410553,True,wall_collision,-23.98978988687402,-47.97982984015509,2.840247886278447
45,-2314.6909377790857,384,0.7109674573152001,12.529040336608887,1745.6635822410553,True,wall_collision,-8.328268552933011,100.88289768492379,0.0975318064567321
46,-1862.3985523514548,304,0.7067185050785539,4.400108814239502,1745.6635822410553,True,wall_collision,3.174919353933589,83.27350998036016,1.5253526751906588
47,-14.18835249500421,225,0.7035903155110456,0.42131727933883667,1745.6635822410553,True,green_collision,12.09792957792338,-15.40360419438575,2.3762244016506386
48,-1750.8380542695022,344,0.6988347918998586,3.1576898097991943,1745.6635822410553,True,wall_collision,-13.253077513966737,88.77951099537816,-2.709841362760041
49,-10.153576711221831,202,0.6960575132209827,0.6021283864974976,1745.6635822410553,True,wall_collision,-10.50047071482554,4.098112174350376,2.833328244925953
50,-364.4820911799902,106,0.6946046119125012,1.6320000886917114,1745.6635822410553,True,wall_collision,-37.35011300028628,64.26822092504284,1.1088012509715126
51,-1050.4469644936114,367,0.6895980107650578,5.616636276245117,1745.6635822410553,True,wall_collision,32.56288564216844,27.220658396442758,2.9629033148489965
52,361.7894102566118,167,0.6873319398541384,0.7010545134544373,1745.6635822410553,True,wall_collision,-25.09778111830127,-21.362132467332188,-1.8666605134277632
53,278.9431390606104,54,0.6866008162369145,2.159421443939209,1745.6635822410553,True,wall_collision,-67.39439170915942,-60.28927905517877,2.6104397956651653
54,-459.1206110581944,321,0.6822709527303017,7.445959091186523,1745.6635822410553,True,green_collision,51.025322573758444,-81.39479428655841,0.6520628470643466
55,-299.3517271482231,250,0.678917987365404,0.6641091108322144,1745.6635822410553,True,wall_collision,-3.120525766556284,19.883822802538504,1.0007543813269972
56,-936.1093237318976,167,0.676687528227872,3.9188690185546875,1745.6635822410553,True,wall_collision,-29.001076366669217,96.88367739465596,-0.21463338979770974
57,-762.5889017637467,347,0.6720767347413883,0.6772777438163757,1745.6635822410553,True,wall_collision,19.215128229736024,28.39749861893978,-1.9861814992939806
58,204.23431312708274,50,0.6714149889346956,9.546876907348633,1745.6635822410553,True,wall_collision,-65.72018727654388,-18.581467065425272,1.6589499723299133
59,-2431.9067476847013,491,0.6649516805269176,0.546292781829834,1745.6635822410553,True,wall_collision,47.28326824376576,48.29774229043363,-2.430304959183349
60,-4224.976066686485,557,0.6576960079375208,4.149331569671631,1745.6635822410553,True,wall_collision,62.003229229656824,63.4276813794296,2.3731048455809267
61,-1545.969164894193,266,0.6542594146188371,3.928375720977783,1745.6635822410553,True,wall_collision,3.4956229462765975,87.2834413711538,-2.8484679975308835
62,133.16118342282516,40,0.6537442131951888,1.533198356628418,1745.6635822410553,True,wall_collision,-70.45667491025971,-100.75472959520916,-1.5534002101637105
63,306.7136080781485,93,0.6525479618173065,0.7610741853713989,1745.6635822410553,True,wall_collision,-37.71453401865257,-65.62429978524702,0.42132413284002057
64,39.62399526426802,52,0.6518800593065223,5.555770397186279,1745.6635822410553,True,wall_collision,-69.15212384504319,18.981452245318863,-2.0985138159355774
65,-35.05204982423545,315,0.6478489263347159,1.7240002155303955,1745.6635822410553,True,wall_collision,26.681056285096417,-100.57417556678287,-1.1902225546172902
